year,player,assists
"Matter, Senior Author",Quantum computing breakthrough may help us learn about the earliest moments of the universe,3
"Matter, Senior Author","Quantum startup Sandbox AQ spins off from Alphabet, gains 'nine figures' in funding",11
"Matter, Senior Author",Researchers create 'time crystal' with quantum computers,10
"Matter, Senior Author","Scientists document the presence of quantum spin liquids, a never-before-seen state of matter",7
"Matter, Senior Author",Semiconductor demonstrates elusive quantum physics model,3
"Matter, Senior Author",Semiconductors “reversed” into insulators above room temperature,3
"Matter, Senior Author",Solving the mystery of superconductivity with supercomputer calculations,3
"Matter, Senior Author",TUM is developing spin materials for quantum computing,3
"MI, Moore, Secret",No Event Cluster,8
"MI, Moore, Secret","UK spy chief warns China, Russia racing to master AI",31
"Optical, Photonic Chips, Silicon Photonics",Cadence Collaborates with GlobalFoundries to Advance Silicon Photonics IC Design,3
"Optical, Photonic Chips, Silicon Photonics",CryoCoax signs distribution agreement with XMA,3
"Optical, Photonic Chips, Silicon Photonics","Nanoscribe Launches Quantum X align, 3D Printer for Auto-Aligned Printing",5
"Optical, Photonic Chips, Silicon Photonics",No Event Cluster,35
"Optical, Photonic Chips, Silicon Photonics",Realization of a Fault-Tolerant Universal Quantum Computer,3
"Optical, Photonic Chips, Silicon Photonics",Researchers are proposing a simpler design for quantum computers,8
"Optical, Photonic Chips, Silicon Photonics",Tower Semiconductor and Anello Develop Low Loss Photonics Process,4
"Optical, Photonic Chips, Silicon Photonics","University of Michigan joins MSU, Purdue to launch quantum science, technology collaboration",3
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",D-Wave Systems announces Quantum QuickStart™,3
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",DARPA enters Phase 2 of project targeting “quantum advantage”,5
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti","Forget About Qubits, Here Come Qutrits",3
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",IBM partners Raytheon Technologies on AI and cryptography,4
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",No Event Cluster,51
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",Quantum computing company D-Wave to go public via SPAC merger,17
"Optimization, Publicly Traded Special Purpose Acquisition, Rigetti",Rigetti and Ampere Announce Strategic Partnership to Develop Cloud-native Hybrid Quantum-Classical Computers,3
"POLARISqb, PhoreMost, Polaris Quantum Biotech",Durham quantum computing startup Polarisqb inks deal to improve human longevity,3
"POLARISqb, PhoreMost, Polaris Quantum Biotech",No Event Cluster,9
"qubit, Condor, Processors",A New Way To Measure The Speed Of Quantum Processors,4
"qubit, Condor, Processors",IBM achieves true ‘quantum supremacy’ with most powerful computer ever built,7
"qubit, Condor, Processors",IBM says quantum chip could beat standard chips in two years,7
"qubit, Condor, Processors",IBM unveils its new 127-qubit Eagle quantum processor,36
"qubit, Condor, Processors",No Event Cluster,65
